"Year","Seed1","Score1","Team1","Team2","Score2","Seed2","ScoreDiff","Upset","ID","ADJOE_DIFF","ADJDE_DIFF","BARTHAG_DIFF","EFG_O_DIFF","EFG_D_DIFF","TOR_DIFF","TORD_DIFF","ORB_DIFF","DRB_DIFF","FTR_DIFF","FTRD_DIFF","X2P_O_DIFF","X2P_D_DIFF","X3P_O_DIFF","X3P_D_DIFF","ADJ_T_DIFF","WAB_DIFF"
2013,3,74,"Marquette","Butler",72,6,2,0,"Marquette-Butler",3.8,0.2,0.04,-1.1,-0.5,0.7,2.1,2.5,6.8,2.5,-4.4,1.4,-0.4,-4.7,-0.9,-0.1,-0.2
2013,4,66,"Syracuse","California",60,12,6,0,"Syracuse-California",7.6,-5.3,0.132,1,-1.7,0,6.8,6.3,3.8,5.6,2.9,-0.3,0.9,3.2,-5.2,-1.1,4.6
2013,1,77,"Louisville","Oregon",69,12,8,0,"Louisville-Oregon",11.1,-4.1,0.102,1.3,-1.6,-3.1,5,2.4,6.1,1.6,1.6,1.7,-1.5,0,-1.6,-2.1,6.1
2013,2,71,"Duke","Michigan St.",61,3,10,0,"Duke-Michigan St.",7,3.7,0.011,3.3,1,-5.2,1.2,-7.3,4.7,2.6,0.3,0.4,1.9,5.8,-1.1,3.4,0.8
2013,2,71,"Duke","Michigan St.",61,3,10,0,"Duke-Michigan St.",-1,-1.8,0.005,-1.6,1.1,-1,4.5,1.7,3.1,-0.4,-3.5,3.7,3.1,-7,-1.7,5,0.5
2013,9,72,"Wichita St.","La Salle",58,13,14,0,"Wichita St.-La Salle",-1.4,-5.2,0.053,-1.9,-4,2.3,-1.3,9,-7.7,5.2,9.8,0.3,-7,-3.8,2,-1,1.9
2013,2,73,"Ohio St.","Arizona",70,6,3,0,"Ohio St.-Arizona",-0.8,-2.8,0.018,-1.9,-1.2,-3.3,0.9,-3.2,1.5,-1.9,-3.4,-1.2,0.2,-1.5,-3.4,-1.5,2.6
2013,1,85,"Kansas","Michigan",87,4,-2,1,"Kansas-Michigan",-9.9,-7.5,-0.001,-1.3,-6.5,5.7,-0.3,1.3,-0.1,11.1,9.3,-0.5,-8.3,-1.5,-2.3,2.9,1.3
2013,15,50,"Florida Gulf Coast","Florida",62,3,-12,1,"Florida Gulf Coast-Florida",-12.3,10.6,-0.274,-3.6,3.6,3.2,-0.4,-1.7,4.4,4.2,2.8,-2,5.1,-4.4,0.3,6.3,-8.1
2013,1,50,"Indiana","Syracuse",61,4,-11,1,"Indiana-Syracuse",8,2.7,0.016,5.7,1.4,0.4,-2.7,0.2,-3.1,9,-8.4,3.5,0.6,6.9,2,2.4,2.7
2013,2,61,"Miami FL","Marquette",71,3,-10,1,"Miami FL-Marquette",-0.6,-2.4,0.019,2.3,-0.5,-4.2,-1.1,-7.1,-4.7,-6.3,-3.4,-1,-0.9,6.6,0.3,-1.6,1.8
2013,1,85,"Louisville","Duke",63,2,22,0,"Louisville-Duke",-2.5,-7,0.024,-3.3,-0.7,2.7,6.6,9.4,1,0.8,2.2,0,-2.8,-6.6,2.8,-0.7,1.5
2013,9,70,"Wichita St.","Ohio St.",66,2,4,0,"Wichita St.-Ohio St.",-3,1.6,-0.036,-0.6,-0.1,3.2,-0.7,6.2,-1.7,1,8.8,0.2,0,-1.7,-0.2,-0.3,-5
2013,4,79,"Michigan","Florida",59,3,20,0,"Michigan-Florida",5.8,8,-0.017,-0.6,4.7,-3.2,-3.8,-1.7,1,-2.6,-7.2,-0.9,5.8,0.1,1.6,2,2.1
2013,4,79,"Michigan","Florida",59,3,20,0,"Michigan-Florida",4.3,-6,0.072,1.8,-4,-4,-4.4,-5.9,-7.4,-2.4,-9.5,2.3,-4.2,0.8,-2.5,1.6,8.5
2013,4,55,"Syracuse","Marquette",39,3,16,0,"Syracuse-Marquette",0,-6.2,0.051,-0.6,-3.6,-2,4.1,0.4,1.4,-4.1,3.7,-3.1,-2.3,3.8,-3.9,0.8,0.6
2013,1,72,"Louisville","Wichita St.",68,9,4,0,"Louisville-Wichita St.",5.3,-6.5,0.07,0.6,-0.5,-1.1,7,0.2,6.8,3.5,-3.4,1.2,-0.2,-0.6,-0.4,2.1,6.8
2013,4,61,"Michigan","Syracuse",56,4,5,0,"Michigan-Syracuse",8.5,6.7,-0.001,5.6,5.4,-4.3,-4.9,-6.3,-5.1,-8.4,-12.7,4.9,5,4.5,4.2,-0.6,1.1
2013,1,82,"Louisville","Michigan",76,4,6,0,"Louisville-Michigan",-5.6,-9.2,0.022,-4,-3.2,3.7,8.3,5.7,3.9,11.6,12.2,-2.6,-4.2,-4.6,-0.8,2.3,2.8
2013,1,82,"Louisville","Michigan",76,4,6,0,"Louisville-Michigan",-5.7,-6.1,0.01,-5.6,-6.2,1.8,0.1,12,-1.5,3.9,11.6,-5.8,-5.2,-3,-6.2,5.4,3.1
2014,1,67,"Florida","Albany",55,16,12,0,"Florida-Albany",13.1,-14.7,0.468,3.4,-2.9,-2.2,3,3.4,-0.4,0.4,2.1,4.3,-2.5,-0.1,-1.9,-0.1,20.3
2014,2,80,"Kansas","Eastern Kentucky",69,15,11,0,"Kansas-Eastern Kentucky",7.1,-11.9,0.309,-2.5,-8.6,3.3,-7.8,14.3,-5.2,5.1,-9.4,-0.2,-12.4,-4.6,-0.3,2.2,10.2
2014,3,77,"Syracuse","Western Michigan",53,14,24,0,"Syracuse-Western Michigan",9.5,-9.7,0.355,-3.8,0.4,-6.1,3.4,7.1,-0.5,-13.2,2,-6,-2.3,0.5,3,-5.5,10.8
2014,4,76,"UCLA","Tulsa",59,13,17,0,"UCLA-Tulsa",13.4,0.8,0.163,4.9,3.5,-2.2,0,-0.4,-1,-8.9,-11.8,3.8,5.4,5.3,-0.8,1.8,8.1
2014,5,75,"VCU","Stephen F. Austin",77,12,-2,1,"VCU-Stephen F. Austin",-3.7,-11.8,0.143,-4.4,-2.7,0.3,2,-3.3,1.9,-4.7,-11,-6.7,-1.2,0,-4.4,7.3,1.9
2014,6,59,"Ohio St.","Dayton",60,11,-1,1,"Ohio St.-Dayton",-4.6,-10.6,0.092,-2.1,-3.6,-0.9,3.1,-4.3,0.8,1.7,-13.2,0.7,-2.4,-5.3,-3.9,0,3.9
2014,7,53,"New Mexico","Stanford",58,10,-5,1,"New Mexico-Stanford",1.1,-0.8,0.026,-0.2,-3,-1.1,-2.1,3.2,0.1,1.7,-5.7,1.8,-4.7,-3.2,-0.1,-1,3.3
2014,8,48,"Colorado","Pittsburgh",77,9,-29,1,"Colorado-Pittsburgh",-10.2,2,-0.152,-2.4,2.7,3.4,-1.4,-3.2,-2.9,4,-6.2,-1.5,1.8,-3.3,3,3.1,-1.7
2014,1,70,"Virginia","Coastal Carolina",59,16,11,0,"Virginia-Coastal Carolina",16.3,-12.5,0.55,2.8,-3.3,-3.7,0.1,-0.3,-3.5,3.4,-7.1,1.4,-4.6,4.3,-0.1,-6.3,15.9
2014,2,73,"Villanova","Milwaukee",53,15,20,0,"Villanova-Milwaukee",10.9,-11.4,0.414,4.5,-2.8,-2.6,1.5,4,-2.5,-0.2,2.1,4.7,-7.4,2.9,4.3,-0.2,14.4
2014,3,93,"Iowa St.","North Carolina Central",75,14,18,0,"Iowa St.-North Carolina Central",10.7,-1.4,0.188,4,3.3,-2.7,-7.8,-6.6,-4.6,-13.1,-14.1,3.6,2.8,3.3,3.1,7.5,8.1
2014,4,93,"Michigan St.","Delaware",78,13,15,0,"Michigan St.-Delaware",8.9,-10.7,0.308,4.1,-3.6,4,0.9,3.8,-5.3,-10.2,2.3,2.6,-6.1,4.5,0.5,-6.1,8.3
2014,5,57,"Cincinnati","Harvard",61,12,-4,1,"Cincinnati-Harvard",-3.2,-3.7,0.014,-4.4,-1.4,-0.2,1.3,6.8,3,-9.7,-0.3,-3.1,-1.7,-5.1,-0.7,-2,3.1
