"Year","Seed1","Score1","Team1","Team2","Score2","Seed2","ScoreDiff","Upset","ID"
2015,2,65,"Kansas","Wichita St.",78,7,-13,0,"Kansas-Wichita St."
2015,3,67,"Notre Dame","Butler",64,6,3,0,"Notre Dame-Butler"
2015,4,59,"Maryland","West Virginia",69,5,-10,0,"Maryland-West Virginia"
2015,1,72,"Wisconsin","Oregon",65,8,7,0,"Wisconsin-Oregon"
2015,2,73,"Arizona","Ohio St.",58,10,15,0,"Arizona-Ohio St."
2015,14,67,"Georgia St.","Xavier",75,6,-8,1,"Georgia St.-Xavier"
2015,4,87,"North Carolina","Arkansas",78,5,9,0,"North Carolina-Arkansas"
2015,1,68,"Villanova","North Carolina St.",71,8,-3,0,"Villanova-North Carolina St."
2015,2,54,"Virginia","Michigan St.",60,7,-6,0,"Virginia-Michigan St."
2015,3,72,"Oklahoma","Dayton",66,11,6,0,"Oklahoma-Dayton"
2015,4,66,"Louisville","Northern Iowa",53,5,13,0,"Louisville-Northern Iowa"
2015,1,68,"Duke","San Diego St.",49,8,19,0,"Duke-San Diego St."
2015,2,87,"Gonzaga","Iowa",68,7,19,0,"Gonzaga-Iowa"
2015,14,75,"UAB","UCLA",92,11,-17,1,"UAB-UCLA"
2015,4,64,"Georgetown","Utah",75,5,-11,0,"Georgetown-Utah"
2015,1,78,"Kentucky","West Virginia",39,5,39,0,"Kentucky-West Virginia"
2015,7,70,"Wichita St.","Notre Dame",81,3,-11,1,"Wichita St.-Notre Dame"
2015,1,79,"Wisconsin","North Carolina",72,4,7,0,"Wisconsin-North Carolina"
2015,2,68,"Arizona","Xavier",60,6,8,0,"Arizona-Xavier"
2015,8,65,"North Carolina St.","Louisville",75,4,-10,1,"North Carolina St.-Louisville"
2015,7,62,"Michigan St.","Oklahoma",58,3,4,1,"Michigan St.-Oklahoma"
2015,1,63,"Duke","Utah",57,5,6,0,"Duke-Utah"
2015,2,74,"Gonzaga","UCLA",62,11,12,0,"Gonzaga-UCLA"
2015,1,68,"Kentucky","Notre Dame",66,3,2,0,"Kentucky-Notre Dame"
2015,1,85,"Wisconsin","Arizona",78,2,7,0,"Wisconsin-Arizona"
2015,4,70,"Louisville","Michigan St.",76,7,-6,0,"Louisville-Michigan St."
2015,1,66,"Duke","Gonzaga",52,2,14,0,"Duke-Gonzaga"
2015,1,64,"Kentucky","Wisconsin",71,1,-7,0,"Kentucky-Wisconsin"
2015,7,61,"Michigan St.","Duke",81,1,-20,1,"Michigan St.-Duke"
2015,1,63,"Wisconsin","Duke",68,1,-5,0,"Wisconsin-Duke"
2016,1,105,"Kansas","Austin Peay",79,16,26,0,"Kansas-Austin Peay"
2016,2,86,"Villanova","UNC Asheville",56,15,30,0,"Villanova-UNC Asheville"
2016,3,79,"Miami FL","Buffalo",72,14,7,0,"Miami FL-Buffalo"
2016,4,66,"California","Hawaii",77,13,-11,0,"California-Hawaii"
2016,5,79,"Maryland","South Dakota St.",74,12,5,0,"Maryland-South Dakota St."
2016,6,55,"Arizona","Wichita St.",65,11,-10,0,"Arizona-Wichita St."
2016,7,72,"Iowa","Temple",70,10,2,0,"Iowa-Temple"
2016,8,67,"Colorado","Connecticut",74,9,-7,0,"Colorado-Connecticut"
2016,1,91,"Oregon","Holy Cross",52,16,39,0,"Oregon-Holy Cross"
2016,2,82,"Oklahoma","Cal St. Bakersfield",68,15,14,0,"Oklahoma-Cal St. Bakersfield"
2016,3,92,"Texas A&M","Green Bay",65,14,27,0,"Texas A&M-Green Bay"
2016,4,93,"Duke","UNC Wilmington",85,13,8,0,"Duke-UNC Wilmington"
2016,5,75,"Baylor","Yale",79,12,-4,0,"Baylor-Yale"
2016,6,72,"Texas","Northern Iowa",75,11,-3,0,"Texas-Northern Iowa"
2016,7,67,"Oregon St.","VCU",75,10,-8,0,"Oregon St.-VCU"
2016,8,78,"Saint Joseph's","Cincinnati",76,9,2,0,"Saint Joseph's-Cincinnati"
2016,1,83,"North Carolina","Florida Gulf Coast",67,16,16,0,"North Carolina-Florida Gulf Coast"
2016,2,71,"Xavier","Weber St.",53,15,18,0,"Xavier-Weber St."
2016,3,56,"West Virginia","Stephen F. Austin",70,14,-14,0,"West Virginia-Stephen F. Austin"
2016,4,85,"Kentucky","Stony Brook",57,13,28,0,"Kentucky-Stony Brook"
2016,5,99,"Indiana","Chattanooga",74,12,25,0,"Indiana-Chattanooga"
2016,6,70,"Notre Dame","Michigan",63,11,7,0,"Notre Dame-Michigan"
2016,7,47,"Wisconsin","Pittsburgh",43,10,4,0,"Wisconsin-Pittsburgh"
2016,8,69,"USC","Providence",70,9,-1,0,"USC-Providence"
2016,1,81,"Virginia","Hampton",45,16,36,0,"Virginia-Hampton"
2016,2,81,"Michigan St.","Middle Tennessee",90,15,-9,0,"Michigan St.-Middle Tennessee"
2016,3,80,"Utah","Fresno St.",69,14,11,0,"Utah-Fresno St."
2016,4,94,"Iowa St.","Iona",81,13,13,0,"Iowa St.-Iona"
2016,5,83,"Purdue","Arkansas Little Rock",85,12,-2,0,"Purdue-Arkansas Little Rock"
2016,6,52,"Seton Hall","Gonzaga",68,11,-16,0,"Seton Hall-Gonzaga"
2016,7,51,"Dayton","Syracuse",70,10,-19,0,"Dayton-Syracuse"
2016,8,61,"Texas Tech","Butler",71,9,-10,0,"Texas Tech-Butler"
2016,1,73,"Kansas","Connecticut",61,9,12,0,"Kansas-Connecticut"
2016,2,87,"Villanova","Iowa",68,7,19,0,"Villanova-Iowa"
2016,3,65,"Miami FL","Wichita St.",57,11,8,0,"Miami FL-Wichita St."
2016,13,60,"Hawaii","Maryland",73,5,-13,1,"Hawaii-Maryland"
